banner_width,banner_height,inventory_source,hour_of_day_utc,value
320,480,APP_LOVIN,4,0.350310315456963
320,480,APP_LOVIN,5,0.3341066527753038
320,480,APP_LOVIN,6,0.36594952539445846
320,480,APP_LOVIN,7,0.31635289120861304
320,480,APP_LOVIN,8,0.28309729782324516
320,480,APP_LOVIN,9,0.3017842462356379
320,480,APP_LOVIN,10,0.2762805240889081
320,480,APP_LOVIN,11,0.2725294986144194
320,480,APP_LOVIN,12,0.3373262686394171
320,480,APP_LOVIN,13,0.338824950605277
320,480,APP_LOVIN,14,0.5634954488032181
320,480,APP_LOVIN,15,0.6339374178807154
320,480,APP_LOVIN,16,0.7561890863164816
320,480,APP_LOVIN,17,0.5846928777330221
320,480,APP_LOVIN,18,0.6642853330208037
320,480,APP_LOVIN,19,0.6382403977622793
320,480,APP_LOVIN,20,0.3672657526492583
320,480,APP_LOVIN,21,0.3849485072969157
320,480,MILLENNIAL,5,0.2083418440672784
320,480,MILLENNIAL,6,0.2948094764430386
320,480,MILLENNIAL,12,0.15327326566500538
320,480,MILLENNIAL,13,0.22727531491531208
320,480,MILLENNIAL,15,0.3113952248544474
320,480,MILLENNIAL,16,0.2929648371004806
320,480,MILLENNIAL,17,0.4948318999541424
320,480,MILLENNIAL,18,0.46227974967799124
320,480,MILLENNIAL,19,0.41383972501881555
320,480,MILLENNIAL,20,0.2555776605213779
320,480,MILLENNIAL,21,0.16493673587576638
320,480,MOPUB,4,0.36300860969751625
320,480,MOPUB,5,0.3522364536792328
320,480,MOPUB,6,0.3303094394688283
320,480,MOPUB,7,0.32868682709164376
320,480,MOPUB,8,0.32358691884531404
320,480,MOPUB,9,0.29686692859188313
320,480,MOPUB,10,0.2936042429960172
320,480,MOPUB,11,0.2785404566357138
320,480,MOPUB,12,0.35242466866629163
320,480,MOPUB,13,0.3959238177741934
320,480,MOPUB,14,0.465851983564956
320,480,MOPUB,15,0.5687504894917775
320,480,MOPUB,16,0.5239297540911639
320,480,MOPUB,17,0.40313656729117564
320,480,MOPUB,18,0.42370152515817655
320,480,MOPUB,19,0.4576326433984836
320,480,MOPUB,20,0.24505062371063083
320,480,MOPUB,21,0.20581054170686267
480,320,APP_LOVIN,4,0.29104671624454
480,320,APP_LOVIN,5,0.29313146131079887
480,320,APP_LOVIN,6,0.31211387287316983
480,320,APP_LOVIN,7,0.19535907698890848
480,320,APP_LOVIN,8,0.28650649797622235
480,320,APP_LOVIN,9,0.24084951841548108
480,320,APP_LOVIN,10,0.31891723731616384
480,320,APP_LOVIN,11,0.22074420075883244
480,320,APP_LOVIN,12,0.2391962432051188
480,320,APP_LOVIN,13,0.32640432954761395
480,320,APP_LOVIN,15,0.5641681088192839
480,320,APP_LOVIN,16,0.5833112676792729
480,320,APP_LOVIN,17,0.39568952072250024
480,320,APP_LOVIN,18,0.48208450887096255
480,320,APP_LOVIN,19,0.45554345993000656
480,320,APP_LOVIN,20,0.31841719527000234
480,320,APP_LOVIN,21,0.35834919439201224
480,320,MOPUB,4,0.3485687123496578
480,320,MOPUB,5,0.3129229615397935
480,320,MOPUB,6,0.21590933413203792
480,320,MOPUB,7,0.2863466669378488
480,320,MOPUB,8,0.2750340927592326
480,320,MOPUB,9,0.33144628312038027
480,320,MOPUB,10,0.24999408895329633
480,320,MOPUB,11,0.24219700337027306
480,320,MOPUB,12,0.33662180362919003
480,320,MOPUB,13,0.408624551004796
480,320,MOPUB,14,0.4795961068108268
480,320,MOPUB,15,0.6101269182725716
480,320,MOPUB,16,0.6277975629388819
480,320,MOPUB,17,0.424430964534464
480,320,MOPUB,18,0.519461906845132
480,320,MOPUB,19,0.502831036715393
480,320,MOPUB,20,0.351482703416708
480,320,MOPUB,21,0.34388220825099497
768,1024,MOPUB,4,0.2870642873704012
768,1024,MOPUB,12,0.2771448269851363
768,1024,MOPUB,16,0.38759630909734305
768,1024,MOPUB,17,0.2438231019594293
768,1024,MOPUB,18,0.33124400341796617
768,1024,MOPUB,19,0.30842275846650613
768,1024,MOPUB,20,0.16902845386690984
768,1024,MOPUB,21,0.13833995956038073
1024,768,MOPUB,14,0.21245806979094198
1024,768,MOPUB,18,0.6322770145379188
,,AERSERV,4,0.30117548454480464
,,AERSERV,5,0.20592255559094028
,,AERSERV,6,0.22729481032236168
,,AERSERV,7,0.21822038933344098
,,AERSERV,8,0.0881793538199832
,,AERSERV,9,0.25776366168341025
,,AERSERV,10,0.3166202850847095
,,AERSERV,11,0.2026756968487748
,,AERSERV,12,0.36584967401258023
,,AERSERV,13,0.4078894814204447
,,AERSERV,14,0.24127547567202332
,,AERSERV,15,0.2969045575271588
,,AERSERV,16,0.39856523210713957
,,AERSERV,17,0.36538723384363486
,,AERSERV,18,0.2702162858944992
,,AERSERV,19,0.2799081284113769
,,AERSERV,20,0.23188591255256857
,,AERSERV,21,0.22040463161761745
,,APP_LOVIN,10,0.457636683436648
,,APP_LOVIN,12,0.18866592063105017
,,APP_LOVIN,15,0.0
,,FYBER,4,0.17489363321866713
,,FYBER,5,0.21298216405928772
,,FYBER,6,0.1808217230119771
,,FYBER,7,0.14435209592174172
,,FYBER,8,0.14435209592174172
,,FYBER,10,0.1706832769365126
,,FYBER,11,0.15844067437787726
,,FYBER,13,0.252026758155598
,,FYBER,14,0.20777622652018893
,,FYBER,15,0.2991046827337679
,,FYBER,16,0.24052086126220032
,,FYBER,18,0.4003694496678772
,,GOOGLE_ADX,4,0.8139572650811054
,,GOOGLE_ADX,5,0.7984670091437375
,,GOOGLE_ADX,6,0.7937942902194576
,,GOOGLE_ADX,7,0.6210416978822029
,,GOOGLE_ADX,8,0.7875387099605903
,,GOOGLE_ADX,9,0.5722865633243115
,,GOOGLE_ADX,10,0.5924736522618351
,,GOOGLE_ADX,11,0.7278863331499874
,,GOOGLE_ADX,12,0.7439985710128107
,,GOOGLE_ADX,13,0.8664654004235546
,,GOOGLE_ADX,14,1.1832674656327458
,,GOOGLE_ADX,15,1.6048590578304436
,,GOOGLE_ADX,16,1.4586699744822553
,,GOOGLE_ADX,17,1.2467130095306123
,,GOOGLE_ADX,18,1.0464396325913838
,,GOOGLE_ADX,19,1.149888948582887
,,GOOGLE_ADX,20,0.8302301981304288
,,GOOGLE_ADX,21,0.7974184474086512
,,INDEX_EXCHANGE,4,0.23362865753177314
,,INDEX_EXCHANGE,5,0.24374822974639546
,,INDEX_EXCHANGE,6,0.22396675278252323
,,INDEX_EXCHANGE,7,0.19764146575248456
,,INDEX_EXCHANGE,8,0.19126811633094945
,,INDEX_EXCHANGE,9,0.19847303312629302
,,INDEX_EXCHANGE,10,0.19885899205222787
,,INDEX_EXCHANGE,11,0.2003223265252145
,,INDEX_EXCHANGE,12,0.24677888907759268
,,INDEX_EXCHANGE,13,0.2966090659956352
,,INDEX_EXCHANGE,14,0.42037500752320167
,,INDEX_EXCHANGE,15,0.48699577255665844
,,INDEX_EXCHANGE,16,0.5403952102323057
,,INDEX_EXCHANGE,17,0.4246621321630133
,,INDEX_EXCHANGE,18,0.4772798906542217
,,INDEX_EXCHANGE,19,0.46751087661106894
,,INDEX_EXCHANGE,20,0.34525439018301957
,,INDEX_EXCHANGE,21,0.3532780570785988
,,LKQD,5,0.034607785104973934
,,LKQD,13,0.030071611454131245
,,MOPUB,17,0.0
,,OPENX,4,0.5339280522113273
,,OPENX,5,0.5068151602429127
,,OPENX,6,0.5573711658398932
,,OPENX,7,0.3960409877642386
,,OPENX,8,0.3246640051497039
,,OPENX,9,0.3642000816141458
,,OPENX,10,0.19929156397727443
,,OPENX,11,0.41140167580437664
,,OPENX,12,0.3501453667928497
,,OPENX,13,0.4752203700670531
,,OPENX,14,0.8864591766853293
,,OPENX,15,0.9294441692610635
,,OPENX,16,1.0185723651142502
,,OPENX,17,1.0385885035538585
,,OPENX,18,1.1291168258304176
,,OPENX,19,0.9938742174397954
,,OPENX,20,0.8378254635301436
,,OPENX,21,0.853250761160703
,,PULSEPOINT,4,0.5823940978900389
,,PULSEPOINT,5,0.6169262703826073
,,PULSEPOINT,6,0.6833742541419375
,,PULSEPOINT,7,0.5999127026240741
,,PULSEPOINT,8,0.6882362240327407
,,PULSEPOINT,9,0.5597966297010121
,,PULSEPOINT,10,0.5643187249173814
,,PULSEPOINT,11,0.6493401238686454
,,PULSEPOINT,12,0.7578780094418001
,,PULSEPOINT,13,0.8504843727205887
,,PULSEPOINT,14,0.8392429615173939
,,PULSEPOINT,15,1.5771204400245455
,,PULSEPOINT,16,1.5367400446711896
,,PULSEPOINT,17,1.495136864788839
,,PULSEPOINT,18,1.268080794082893
,,PULSEPOINT,19,1.4839551315832786
,,PULSEPOINT,20,1.2788176914091764
,,PULSEPOINT,21,1.1565422178126177
,,RUBICON,4,0.6403930544748614
,,RUBICON,5,0.6182621871599366
,,RUBICON,6,0.5723642020315396
,,RUBICON,7,0.44858295111190416
,,RUBICON,8,0.4345359982645571
,,RUBICON,9,0.4732907577546042
,,RUBICON,10,0.5093839353410468
,,RUBICON,11,0.515655225405372
,,RUBICON,12,0.5641816940499056
,,RUBICON,13,0.785074149631636
,,RUBICON,14,1.010782668708411
,,RUBICON,15,1.4676045110586544
,,RUBICON,16,1.6271070595569834
,,RUBICON,17,1.896091215832527
,,RUBICON,18,1.9627980397363827
,,RUBICON,19,1.8350615720970445
,,RUBICON,20,1.3388324629284156
,,RUBICON,21,1.3602385536813892
,,SMAATO,4,1.0427698053117593
,,SMAATO,5,0.4732149775211363
,,SMAATO,6,0.25263062502892003
,,SMAATO,7,0.24020370845914146
,,SMAATO,9,0.1997438827385542
,,SMAATO,10,0.2510518563393463
,,SMAATO,11,0.16982722956194915
,,SMAATO,12,0.10020140785783738
,,SMAATO,13,0.022483309941609828
,,SMAATO,14,0.022483309941609828
,,SMAATO,15,0.027807300774547863
,,SMAATO,16,0.4194717200486102
,,SMAATO,18,0.2958091664555308
,,SMAATO,19,0.3699198978000243
,,SMARTADSERVER,4,0.29176973598564343
,,SMARTADSERVER,10,0.7339673214861471
,,SMARTADSERVER,11,0.1566548147682544
,,SMARTADSERVER,12,0.11838957921977436
,,SMARTADSERVER,13,0.4979244075313158
,,SMARTADSERVER,14,0.9121351891241699
,,SMARTADSERVER,15,0.6822479442566587
,,SMARTADSERVER,16,0.5491074391604789
,,SMARTADSERVER,17,0.03496895400753644
,,SPOTX,4,0.09413143946675048
,,SPOTX,5,0.13271166249228725
,,SPOTX,6,0.06545877675652753
,,SPOTX,7,0.11323425911294141
,,SPOTX,8,0.08639717687239866
,,SPOTX,9,0.08268776840930013
,,SPOTX,10,0.08982554444356962
,,SPOTX,11,0.10831284817913209
,,SPOTX,12,0.10696006230366283
,,SPOTX,13,0.12519593925027334
,,SPOTX,14,0.11612021684477508
,,SPOTX,15,0.11762160557805938
,,SPOTX,16,0.14707281237868422
,,SPOTX,17,0.1009418113160335
,,SPOTX,18,0.13903877134707157
,,SPOTX,19,0.1323057477125746
,,SPOTX,20,0.08353120387284246
,,SPOTX,21,0.08251533229315747
,,STICKYADS,4,0.38823719197573947
,,STICKYADS,5,0.4490019706891885
,,STICKYADS,6,0.3990957867192628
,,STICKYADS,7,0.3237963180337421
,,STICKYADS,8,0.2808038345118566
,,STICKYADS,9,0.2998280109841731
,,STICKYADS,10,0.29088411142454906
,,STICKYADS,11,0.22626865376286856
,,STICKYADS,12,0.3619097020301974
,,STICKYADS,13,0.8407105416296303
,,STICKYADS,14,0.4932481619008226
,,STICKYADS,15,0.49352596543508664
,,STICKYADS,16,0.5790092180680937
,,STICKYADS,17,0.2502718186260304
,,TREMOR,4,0.4730038177384658
,,TREMOR,5,0.45400978840728884
,,TREMOR,6,0.43131922665383726
,,TREMOR,7,0.37135664253784345
,,TREMOR,8,0.3877416554868919
,,TREMOR,9,0.389536247841897
,,TREMOR,10,0.38326830714255083
,,TREMOR,11,0.3862990743763635
,,TREMOR,12,0.4335172595488394
,,TREMOR,13,0.49679228483691285
,,TREMOR,14,0.5577871114749184
,,TREMOR,15,0.5449987541109588
,,TREMOR,16,0.5311253415989421
,,TREMOR,17,0.3992300777418722
,,TREMOR,18,0.4277803763905013
,,TREMOR,19,0.3990740348095322
,,TREMOR,20,0.36228094883334416
,,TREMOR,21,0.3722537166791841
,,UNITY,4,0.3583320324330853
,,UNITY,5,0.3205879509881456
,,UNITY,6,0.35005681858350024
,,UNITY,7,0.2921969026321617
,,UNITY,8,0.3016299974642339
,,UNITY,9,0.3167181475985125
,,UNITY,10,0.3257864084795432
,,UNITY,11,0.36449683280158773
,,UNITY,12,0.35442888582387116
,,UNITY,13,0.37527361895904376
,,UNITY,14,0.551376817810005
,,UNITY,15,0.6847535478177305
,,UNITY,16,0.6202675747547943
,,UNITY,17,0.5683882152197127
,,UNITY,18,0.5404060520839299
,,UNITY,19,0.5575603209807275
,,UNITY,20,0.37959129565234806
,,UNITY,21,0.3823642327721559
